listing_id,host_id,host_since,name,neighbourhood,property_type,room_type,bedrooms,price,number_of_reviews,review_scores_rating
22781711,168091065,2018-01-16,Great studio near Ciutadella Parc,la Dreta de l'Eixample,Serviced apartment,Entire home/apt,1.0,60,0,
22782329,168311662,2018-01-17,Room ONLY for WOMEN,el Poble Sec,Apartment,Private room,1.0,22,71,97.0
22784396,168091065,2018-01-16,"Large Studio, modern and quiet",la Dreta de l'Eixample,Serviced apartment,Entire home/apt,1.0,61,1,100.0
22785210,168091065,2018-01-16,Cozy and bright studio near Plaza Catalunya,la Dreta de l'Eixample,Serviced apartment,Entire home/apt,1.0,60,0,
22786648,168091065,2018-01-16,Beautiful studio near Arc de Triomf,la Dreta de l'Eixample,Serviced apartment,Entire home/apt,1.0,60,0,
22790213,168382554,2018-01-17,BLUE DOUBLE ROOM in BARCELONA CENTER & BREAKFAST,la Dreta de l'Eixample,Apartment,Private room,1.0,35,17,89.0
22790644,23257094,2014-11-02,Sunny attic apartment close to Sagrada Familia,la Sagrada Família,Apartment,Private room,1.0,73,0,
22801724,168497765,2018-01-18,Habitación Plaza España,la Font de la Guatlla,Apartment,Private room,1.0,35,40,99.0
22804344,32272459,2015-04-30,SAGRADA FAMILIA CAMA LUMINOSA,el Camp d'en Grassot i Gràcia Nova,Apartment,Private room,1.0,25,0,
22804795,148946579,2017-09-03,PARC GÜELL 4 PAX (Mínimo 32 días),la Salut,House,Entire home/apt,2.0,95,2,100.0
22805735,148946579,2017-09-03,RAMBLA CATALUNYA 4 PAX,la Dreta de l'Eixample,Apartment,Entire home/apt,1.0,140,10,90.0
22807948,168552303,2018-01-18,Unique Property in the Old Barcelona,"Sant Pere, Santa Caterina i la Ribera",Apartment,Entire home/apt,2.0,120,2,100.0
22812609,168595005,2018-01-18,Luminoso e ideal para grupos!,la Maternitat i Sant Ramon,Apartment,Entire home/apt,3.0,70,47,90.0
22813008,121031189,2017-03-16,Double room in Sagrada Familia.,la Sagrada Família,Apartment,Private room,1.0,25,60,97.0
22813570,168606129,2018-01-18,Room near the sea,el Besòs i el Maresme,Apartment,Private room,1.0,35,9,84.0
22813884,13604332,2014-03-27,Habitación doble junto a la Universidad UB - UPC!,la Maternitat i Sant Ramon,Apartment,Private room,1.0,15,2,90.0
22820576,168678203,2018-01-19,1-1,el Poble Sec,Apartment,Entire home/apt,2.0,120,31,92.0
22821252,3376710,2012-08-26,3 bedroom apartmetn in Sant Antoni,Sant Antoni,Apartment,Entire home/apt,4.0,73,2,90.0
22822204,32978151,2015-05-09,Excellent apartment very near Sag.Familia and town,el Fort Pienc,Apartment,Private room,1.0,30,72,96.0
22824662,148946579,2017-09-03,BASIC GRACIA 6 PAX LUMINOSO,la Vila de Gràcia,Apartment,Entire home/apt,2.0,110,5,92.0
22824976,4021848,2012-10-31,Comfortable room in Born,"Sant Pere, Santa Caterina i la Ribera",Apartment,Private room,1.0,17,2,100.0
22825925,168726533,2018-01-19,Unique design 2bed in Sant Antoni,Sant Antoni,Apartment,Entire home/apt,2.0,35,2,90.0
22826486,168726533,2018-01-19,Modernist 2bed in the center of Barcelona,Sant Antoni,Apartment,Entire home/apt,2.0,15,1,100.0
22828087,168745497,2018-01-19,Piso lujo gracia,el Putxet i el Farró,Apartment,Entire home/apt,2.0,100,0,
22836980,2688205,2012-06-20,MONTHLY APARMENT IN PASSEIG DE GRÀCIA,la Vila de Gràcia,Apartment,Entire home/apt,1.0,62,3,93.0
22838124,122893446,2017-03-27,"Bonito, luminoso y céntrico/WIFI/10"" Rambla/Puerto",el Poble Sec,Apartment,Entire home/apt,1.0,58,9,95.0
22839673,168867586,2018-01-20,"Ideal para parejas, o persona. Tranquilidad",Porta,Apartment,Private room,1.0,40,13,92.0
22846615,9536735,2013-10-20,BCN Center + 1 XXL or 2 Bed + Balcony + A/C + Desk,Hostafrancs,Apartment,Private room,1.0,57,88,99.0
22859657,2509252,2012-05-31,Rambla Catalunya Atico,la Dreta de l'Eixample,Apartment,Entire home/apt,1.0,110,16,81.0
22860004,163447308,2017-12-20,el monte,la Trinitat Nova,Apartment,Private room,1.0,20,0,
22860092,2509252,2012-05-31,Rambla Catalunya 4º,la Dreta de l'Eixample,Apartment,Entire home/apt,2.0,140,24,91.0
22862211,112442355,2017-01-20,Single Room with Private Bathroom,el Fort Pienc,Apartment,Private room,2.0,20,53,97.0
22863121,73939240,2016-05-25,Room acogedora y muy luminosa,Sants - Badal,Apartment,Private room,1.0,16,97,93.0
22863205,771458,2011-07-03,Gran habitacion con baño privado,el Fort Pienc,Apartment,Private room,1.0,45,0,
22863277,167028025,2018-01-10,BCN Center Pl. España!+ Double Bed + Desk + WIFI!!,Hostafrancs,Apartment,Private room,1.0,50,37,97.0
22863701,771458,2011-07-03,Hab azul san joan,la Dreta de l'Eixample,Apartment,Private room,1.0,25,0,
22863816,67014524,2016-04-13,Cozy Room in a Beautiful Flat,Sant Gervasi - Galvany,Apartment,Private room,1.0,39,8,91.0
22863985,771458,2011-07-03,Rosa san joan,la Dreta de l'Eixample,Apartment,Private room,1.0,30,0,
22864323,771458,2011-07-03,Single san joan,la Dreta de l'Eixample,Apartment,Private room,1.0,25,3,93.0
22872052,1275637,2011-10-11,"Quiet and central, 2 bedroom for 5 - ATU2",l'Antiga Esquerra de l'Eixample,Apartment,Entire home/apt,2.0,500,38,86.0
22872428,10642483,2013-12-15,Located in Eixample 5min from Paseo de Gracia!,l'Antiga Esquerra de l'Eixample,Apartment,Entire home/apt,3.0,500,1,
22873824,168678203,2018-01-19,Discover Barcelona 4,el Poble Sec,Apartment,Entire home/apt,2.0,120,22,90.0
22874043,168678203,2018-01-19,Discover Barcelona 5,el Poble Sec,Apartment,Entire home/apt,3.0,120,26,92.0
22874205,168678203,2018-01-19,Discover Barcelona 6,el Poble Sec,Apartment,Entire home/apt,2.0,110,19,83.0
22878815,8130906,2013-08-13,CENTRAL 4-BEDROOM APARTMENT,la Dreta de l'Eixample,Serviced apartment,Entire home/apt,4.0,270,13,94.0
22879099,8667328,2013-09-06,Habitación al lado de la playa,el Poblenou,Apartment,Private room,1.0,30,9,90.0
22881665,2509252,2012-05-31,Rambla Catalunya 3º,la Dreta de l'Eixample,Apartment,Entire home/apt,2.0,140,18,93.0
22882398,168595005,2018-01-18,Amplio para grupos! Cerca del Camp Nou,la Maternitat i Sant Ramon,Apartment,Entire home/apt,3.0,70,39,86.0
